HOUSEID,PERSONID,TRIPID,SEQ_TRIPID,VEHCASEID,FRSTHM,PARK,HHMEMDRV,TDWKND,TRAVDAY,LOOP_TRIP,DWELTIME,PUBTRANS,TRIPPURP,WHYFROM,WHYTRP1S,TRVLCMIN,STRTTIME,ENDTIME,TRPHHVEH,VEHID,TRPTRANS,NUMONTRP,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,NONHHCNT,HHACCCNT,WHODROVE,DRVR_FLG,PSGR_FLG,WHODROVE_IMP,PARK2_PAMOUNT,PARK2_PAYTYPE,PARK2,WHYTO,WALK,TRPMILES,WTTRDFIN,WTTRDFIN5D,WTTRDFIN2D,TDCASEID,VMT_MILE,GASPRICE,WHYTRP90,NUMADLT,HOMEOWN,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CDIVMSAR,HHFAMINC,HH_RACE,HHSIZE,HHVEHCNT,LIF_CYC,MSACAT,MSASIZE,URBAN,URBANSIZE,URBRUR,TDAYDATE,WRKCOUNT,STRATUMID,R_AGE,R_SEX,WORKER,DRIVER,R_RACE,R_HISP,PROXY,EDUC,PRMACT,R_SEX_IMP,VEHTYPE,HHFAMINC_IMP,OBHUR,DBHUR,TRIPMODE,OTHTNRNT,OTPPOPDN,OTRESDN,OTEEMPDN,OBHTNRNT,OBPPOPDN,OBRESDN,DTHTNRNT,DTPPOPDN,DTRESDN,DTEEMPDN,DBHTNRNT,DBPPOPDN,DBRESDN
9000013002,1,1,1,900001300201.00,1,2,1,1,1,2,75,2,3,1,50,15,1435,1450,1,1,3,2,1,2,2,1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,1,-1,-1,-1,15,2,3.902423866,1608361.959,0,1569852.431,9.00001E+13,3.902423866,355.1,10,2,1,1,1,1,2,2,11,11,1,4,2,4,1,5,1,4,1,202202,1,1021,39,2,2,1,1,2,1,7,3,2,3,11,4,4,1,20,4,2,5,5,4,3,5,5,3,6,5,4,3
9000013002,1,2,2,900001300201.00,1,2,1,1,1,2,-9,2,3,15,1,10,1605,1615,1,1,3,2,1,2,2,1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,1,-1,-1,-1,1,1,3.902423866,1608361.959,0,1569852.431,9.00001E+13,3.902423866,355.1,10,2,1,1,1,1,2,2,11,11,1,4,2,4,1,5,1,4,1,202202,1,1021,39,2,2,1,1,2,1,7,3,2,3,11,4,4,1,5,5,3,6,5,4,3,20,4,2,5,5,4,3
9000013002,2,1,1,900001300202.00,1,-1,1,1,1,2,10,2,2,1,80,30,700,730,1,2,3,1,2,1,2,2,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,12,-1,17.0770665,2208973.058,0,2274238.675,9.00001E+13,17.0770665,355.1,10,2,1,1,1,1,2,2,11,11,1,4,2,4,1,5,1,4,1,202202,1,1021,42,1,1,1,1,2,2,7,-1,1,3,11,4,2,1,20,4,2,5,5,4,3,40,5,4,6,60,4,3
9000013002,2,2,2,900001300202.00,1,-1,1,1,1,2,10,2,5,12,80,10,740,750,1,2,3,1,2,1,2,2,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,12,-9,4.748290864,2208973.058,0,2274238.675,9.00001E+13,4.748290864,355.1,10,2,1,1,1,1,2,2,11,11,1,4,2,4,1,5,1,4,1,202202,1,1021,42,1,1,1,1,2,2,7,-1,1,3,11,2,2,1,40,5,4,6,60,4,3,5,3,2,4,5,3,2
9000013002,2,3,3,900001300202.00,1,-1,1,1,1,2,-9,2,2,12,1,30,800,830,1,2,3,1,2,1,2,2,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,-1,-1,-1,1,-9,14.09881914,2208973.058,0,2274238.675,9.00001E+13,14.09881914,355.1,10,2,1,1,1,1,2,2,11,11,1,4,2,4,1,5,1,4,1,202202,1,1021,42,1,1,1,1,2,2,7,-1,1,3,11,2,4,1,5,3,2,4,5,3,2,20,4,2,5,5,4,3
9000013002,4,1,1,900001300201.00,1,-1,1,1,1,2,75,2,3,1,50,15,1435,1450,1,1,3,2,1,2,2,1,-1,-1,-1,-1,-1,-1,0,2,1,2,1,1,-1,-1,-1,15,2,3.902423866,2537528.756,0,3184545.454,9.00001E+13,-1,355.1,10,2,1,1,1,1,2,2,11,11,1,4,2,4,1,5,1,4,1,202202,1,1021,5,-7,-1,-1,1,2,2,-1,-1,1,3,11,4,4,2,20,4,2,5,5,4,3,5,5,3,6,5,4,3
9000013002,4,2,2,900001300201.00,1,-1,1,1,1,2,-9,2,3,15,1,10,1605,1615,1,1,3,2,1,2,2,1,-1,-1,-1,-1,-1,-1,0,2,1,2,1,1,-1,-1,-1,1,1,3.902423866,2537528.756,0,3184545.454,9.00001E+13,-1,355.1,10,2,1,1,1,1,2,2,11,11,1,4,2,4,1,5,1,4,1,202202,1,1021,5,-7,-1,-1,1,2,2,-1,-1,1,3,11,4,4,2,5,5,3,6,5,4,3,20,4,2,5,5,4,3
9000013016,1,1,1,900001301601.00,1,2,1,2,4,2,260,2,4,1,30,10,930,940,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,2,1,2,-1,-1,-1,11,1,0.911746426,1219637.02,1140002.705,0,9.00001E+13,-1,344.9,6,2,3,2,1,1,2,2,13,7,1,2,1,2,3,3,1,2,1,202202,2,1021,32,2,1,1,1,2,1,6,-1,2,1,7,3,3,2,80,7,3,8,90,7,6,60,6,5,8,70,6,5
9000013016,1,2,2,900001301601.00,1,2,1,2,4,2,105,2,5,11,40,15,1400,1415,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,2,1,2,-1,-1,-1,14,1,4.59850839,1314260.304,1228447.708,0,9.00001E+13,-1,344.9,4,2,3,2,1,1,2,2,13,7,1,2,1,2,3,3,1,2,1,202202,2,1021,32,2,1,1,1,2,1,6,-1,2,1,7,3,2,2,60,6,5,8,70,6,5,80,4,2,5,30,2,-9
9000013016,1,3,3,900001301601.00,1,2,1,2,4,2,-9,2,4,14,1,30,1600,1630,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,2,1,2,-1,-1,-1,1,2,5.423244251,1219637.02,1140002.705,0,9.00001E+13,-1,344.9,6,2,3,2,1,1,2,2,13,7,1,2,1,2,3,3,1,2,1,202202,2,1021,32,2,1,1,1,2,1,6,-1,2,1,7,2,3,2,80,4,2,5,30,2,-9,80,7,3,8,90,7,6
